SNP	chr.num	chr.roman	WS244.pos
CE2-144	2	II	5949974
UCE2-1651	2	II	5983010
UCE2-1654	2	II	6014872
CE2-145	2	II	6175537
UCE2-1658	2	II	6231700
CE2-147	2	II	6348750
UCE2-1665	2	II	6406372
CE2-148	2	II	6441119
UCE2-503	2	II	65038
CE2-149	2	II	6538875
CE2-32	2	II	661216
CE2-150	2	II	6627113
CE2-22	2	II	6672390
UCE2-1676	2	II	6765631
CE2-151	2	II	6765801
UCE2-1690	2	II	6825820
UCE2-1697	2	II	6919173
UCE2-1703	2	II	6979082
CE2-153	2	II	7041451
CE2-154	2	II	7108023
UCE2-1708	2	II	7143437
UCE2-1709	2	II	7207215
UCE2-1730	2	II	7296342
CE2-155	2	II	7298396
UCE2-1736	2	II	7340740
CE2-156	2	II	7375266
UCE2-1748	2	II	7491161
CE2-13	2	II	7538363
CE2-239	2	II	762234
UCE2-1755	2	II	7671375
UCE2-1756	2	II	7671735
CE2-158	2	II	7740331
UCE2-1763	2	II	7807091
CE2-159	2	II	7814106
CE2-160	2	II	7872221
UCE2-1768	2	II	7934439
CE2-162	2	II	8035239
UCE2-1775	2	II	8117708
CE2-163	2	II	8132878
UCE2-1778	2	II	8204439
UCE2-545	2	II	828258
CE2-164	2	II	8387150
CE2-11	2	II	8418781
CE2-166	2	II	8571691
CE2-104	2	II	866657
CE2-167	2	II	8702092
CE2-28	2	II	8712868
UCE2-554	2	II	880737
CE2-10	2	II	8844665
CE2-168	2	II	8866137
CE2-169	2	II	8927601
CE2-170	2	II	9008082
CE2-18	2	II	9052556
CE2-171	2	II	9064600
CE2-236	2	II	9141923
CE2-172	2	II	9145190
UCE2-1832	2	II	9216890
UCE2-1837	2	II	9307882
UCE2-1850	2	II	9551104
UCE2-590	2	II	960271
UCE2-1862	2	II	9621467
CE2-105	2	II	962511
CE2-177	2	II	9782651
CE2-178	2	II	9835892
CE2-179	2	II	9917291
UCE3-1130	3	III	10031225
CE3-185	3	III	10095008
CE3-186	3	III	10192454
CE3-218	3	III	10244022
CE3-187	3	III	10275321
UCE3-1146	3	III	10301685
CE3-18	3	III	10385195
UCE3-1158	3	III	10399821
UCE3-1159	3	III	10437993
CE3-8	3	III	10526338
CE3-188	3	III	10539297
UCE3-1180	3	III	10602620
UCE3-692	3	III	1061277
UCE3-1192	3	III	10675443
CE3-190	3	III	10720884
CE3-191	3	III	10817996
UCE3-1202	3	III	10837364
CE3-192	3	III	10914982
UCE3-1206	3	III	10924145
UCE3-1217	3	III	11116636
UCE3-1220	3	III	11144097
CE3-193	3	III	11200393
UCE3-1226	3	III	11241333
CE3-194	3	III	11336075
UCE3-1234	3	III	11378231
CE3-195	3	III	11428604
CE3-108	3	III	1142959
UCE3-1247	3	III	11543073
UCE3-1258	3	III	11659908
CE3-197	3	III	11700038
CE3-19	3	III	11766559
CE3-198	3	III	11801666
UCE3-1270	3	III	11810541
UCE3-1284	3	III	11874240
UCE3-699	3	III	1187970
UCE3-1290	3	III	11916803
UCE3-1296	3	III	12013231
UCE3-1302	3	III	12020040
CE3-200	3	III	12161208
CE3-202	3	III	12302078
CE3-109	3	III	1237695
CE3-204	3	III	12528394
UCE3-1341	3	III	12589611
UCE3-1349	3	III	12614803
UCE3-1354	3	III	12690007
UCE3-1355	3	III	12690136
UCE3-1366	3	III	12788795
CE3-12	3	III	12806910
UCE3-1379	3	III	12883463
UCE3-1382	3	III	12960693
UCE3-1385	3	III	12963142
UCE3-1386	3	III	13024812
CE3-207	3	III	13071042
CE3-209	3	III	13363556
CE3-210	3	III	13444320
UCE3-1397	3	III	13463856
CE3-211	3	III	13540003
CE3-10	3	III	13572317
CE3-212	3	III	13605392
UCE3-1422	3	III	13678738
UCE3-1429	3	III	13719486
UCE3-1433	3	III	13762683
UCE3-563	3	III	137702
CE3-111	3	III	1586498
UCE3-702	3	III	1616476
CE3-112	3	III	1638869
UCE3-584	3	III	173670
UCE3-721	3	III	1765670
UCE3-730	3	III	1803905
UCE3-738	3	III	1842885
CE3-216	3	III	1893300
CE3-114	3	III	1893393
UCE3-746	3	III	1972641
CE3-115	3	III	1974785
CE3-28	3	III	21514
CE3-116	3	III	2164487
CE3-117	3	III	2255597
UCE3-590	3	III	236354
CE3-118	3	III	2370352
UCE3-761	3	III	2453411
UCE3-764	3	III	2487752
CE3-102	3	III	252491
UCE3-767	3	III	2545524
UCE3-777	3	III	2655414
CE3-122	3	III	2750398
UCE3-786	3	III	2750517
UCE3-788	3	III	2752193
UCE3-789	3	III	2812987
UCE3-792	3	III	2851790
UCE3-798	3	III	2941128
UCE3-799	3	III	2941327
CE3-123	3	III	3046964
UCE3-811	3	III	3067674
CE3-3	3	III	3188932
UCE3-821	3	III	3329669
UCE3-825	3	III	3346549
CE3-127	3	III	3359043
UCE3-832	3	III	3435060
CE3-128	3	III	3451859
CE3-129	3	III	3553029
UCE3-835	3	III	3574930
CE3-15	3	III	3591549
CE3-103	3	III	360483
CE3-130	3	III	3633294
UCE3-594	3	III	371939
CE3-132	3	III	3863268
UCE3-855	3	III	3992967
UCE3-859	3	III	4076893
UCE3-862	3	III	4086235
CE3-134	3	III	4138153
CE3-135	3	III	4279579
CE3-136	3	III	4356506
UCE3-595	3	III	447773
CE3-138	3	III	4611281
UCE3-867	3	III	4640995
CE3-139	3	III	4681429
CE3-140	3	III	4791191
CE3-141	3	III	4877080
UCE3-537	3	III	49790
UCE3-894	3	III	5150289
CE3-7	3	III	5188050
CE3-142	3	III	5290903
CE3-143	3	III	5346432
CE3-104	3	III	540367
CE3-144	3	III	5438354
UCE3-905	3	III	5479398
UCE3-909	3	III	5504149
UCE3-917	3	III	5603656
CE3-145	3	III	5624285
UCE3-920	3	III	5684035
UCE3-933	3	III	5732723
CE3-146	3	III	5756098
UCE3-940	3	III	5932206
CE3-148	3	III	6069775
CE3-149	3	III	6144905
CE3-150	3	III	6330537
CE3-151	3	III	6411873
CE3-152	3	III	6578798
CE3-217	3	III	6678775
CE3-153	3	III	6679526
CE3-13	3	III	6699565
CE3-154	3	III	6752450
UCE3-960	3	III	6793064
CE3-155	3	III	6847236
UCE3-972	3	III	6927365
UCE3-614	3	III	694500
UCE3-975	3	III	6951452
CE3-157	3	III	7037286
UCE3-988	3	III	7070739
CE3-159	3	III	7232419
UCE3-993	3	III	7244202
CE3-160	3	III	7320521
UCE3-1010	3	III	7385473
CE3-161	3	III	7394794
CE3-162	3	III	7465593
CE3-21	3	III	746765
CE3-163	3	III	7533871
CE3-164	3	III	7605648
UCE3-1020	3	III	7605818
CE3-165	3	III	7658126
UCE3-1035	3	III	7730677
CE3-9	3	III	7805071
CE3-166	3	III	7829085
CE3-167	3	III	7909214
UCE3-1056	3	III	7952470
CE3-168	3	III	8008262
UCE3-619	3	III	811710
UCE3-1060	3	III	8126357
CE3-169	3	III	8230926
CE3-170	3	III	8318640
UCE3-1065	3	III	8322069
UCE3-1068	3	III	8365279
CE3-171	3	III	8400243
UCE3-622	3	III	844846
CE3-172	3	III	8498585
UCE3-1075	3	III	8626507
UCE3-1076	3	III	8628437
CE3-173	3	III	8677841
CE3-174	3	III	8804664
UCE3-1088	3	III	8933656
CE3-106	3	III	901710
CE3-176	3	III	9028379
UCE3-1091	3	III	9182068
UCE3-627	3	III	919704
CE3-178	3	III	9219144
UCE3-1101	3	III	9288020
CE3-179	3	III	9308961
CE3-180	3	III	9400295
UCE3-1106	3	III	9432119
CE3-181	3	III	9474276
CE3-27	3	III	9550779
CE3-213	3	III	9558557
CE3-182	3	III	9742951
UCE3-1116	3	III	9748051
CE3-183	3	III	9834210
UCE3-1123	3	III	9834317
UCE3-1129	3	III	9997192
UCE4-1086	4	IV	10073944
UCE4-1090	4	IV	10112225
UCE4-1093	4	IV	10151829
UCE4-1094	4	IV	10228875
CE4-26	4	IV	10258692
UCE4-1110	4	IV	10279605
UCE4-1113	4	IV	10613516
CE4-228	4	IV	1063709
UCE4-1116	4	IV	10653107
CE4-172	4	IV	10677558
CE4-173	4	IV	10835807
UCE4-526	4	IV	1087026
CE4-20	4	IV	10909583
CE4-174	4	IV	11083001
CE4-175	4	IV	11166291
UCE4-1138	4	IV	11247312
CE4-229	4	IV	11259374
CE4-9	4	IV	11315748
CE4-176	4	IV	11349430
UCE4-1144	4	IV	11401788
CE4-177	4	IV	11438942
UCE4-1146	4	IV	11474630
UCE4-1147	4	IV	11508379
CE4-178	4	IV	11603978
CE4-179	4	IV	11667016
CE4-1	4	IV	11668265
UCE4-528	4	IV	1169843
UCE4-1155	4	IV	11747270
CE4-180	4	IV	11753110
CE4-19	4	IV	11830245
CE4-181	4	IV	11839682
UCE4-1163	4	IV	11912069
UCE4-1167	4	IV	12050039
UCE4-1171	4	IV	12124893
UCE4-1175	4	IV	12207650
UCE4-1176	4	IV	12290042
UCE4-1177	4	IV	12291313
CE4-185	4	IV	12382932
UCE4-1180	4	IV	12429795
CE4-186	4	IV	12453653
CE4-187	4	IV	12524302
UCE4-1185	4	IV	12534731
CE4-188	4	IV	12613441
CE4-189	4	IV	12694976
UCE4-1192	4	IV	12758880
UCE4-1194	4	IV	12780117
CE4-28	4	IV	12841540
UCE4-1202	4	IV	12884825
CE4-234	4	IV	12908590
UCE4-1207	4	IV	12920262
CE4-230	4	IV	12971779
UCE4-1229	4	IV	13005770
UCE4-1238	4	IV	13082526
UCE4-1239	4	IV	13097029
UCE4-532	4	IV	1322900
UCE4-1244	4	IV	13239153
CE4-10	4	IV	13241019
UCE4-537	4	IV	1335369
CE4-194	4	IV	13370581
UCE4-1253	4	IV	13532237
CE4-195	4	IV	13629815
UCE4-1258	4	IV	13706680
UCE4-1263	4	IV	13730774
CE4-196	4	IV	13809837
CE4-244	4	IV	13898242
UCE4-1266	4	IV	13904356
CE4-105	4	IV	1396331
UCE4-1269	4	IV	13996144
UCE4-1275	4	IV	14027747
CE4-197	4	IV	14091495
UCE4-1283	4	IV	14112591
UCE4-1284	4	IV	14153942
CE4-198	4	IV	14176920
CE4-199	4	IV	14263814
UCE4-1314	4	IV	14264166
UCE4-545	4	IV	1428841
UCE4-1320	4	IV	14335341
CE4-200	4	IV	14357860
UCE4-1337	4	IV	14423657
UCE4-1345	4	IV	14424486
UCE4-1356	4	IV	14517178
UCE4-1363	4	IV	14608282
UCE4-1369	4	IV	14664130
CE4-204	4	IV	14843150
UCE4-1380	4	IV	14857092
UCE4-566	4	IV	1488729
UCE4-1408	4	IV	15008977
UCE4-1414	4	IV	15013780
CE4-205	4	IV	15020297
CE4-206	4	IV	15105523
UCE4-1424	4	IV	15105679
CE4-207	4	IV	15181532
CE4-208	4	IV	15280834
UCE4-1438	4	IV	15324822
UCE4-1450	4	IV	15369550
UCE4-1455	4	IV	15383794
CE4-245	4	IV	15429543
UCE4-1456	4	IV	15466666
CE4-209	4	IV	15568713
CE4-210	4	IV	15632676
UCE4-1468	4	IV	15706670
CE4-211	4	IV	15731760
CE4-106	4	IV	1577500
CE4-227	4	IV	15784912
UCE4-1495	4	IV	15849940
CE4-212	4	IV	15879951
CE4-235	4	IV	15907521
UCE4-1520	4	IV	16006324
UCE4-1522	4	IV	16006590
UCE4-592	4	IV	1601255
UCE4-1523	4	IV	16090703
UCE4-1525	4	IV	16160242
UCE4-1531	4	IV	16170793
UCE4-1536	4	IV	16206511
UCE4-1545	4	IV	16259338
CE4-213	4	IV	16277985
UCE4-1581	4	IV	16403255
UCE4-1586	4	IV	16442619
CE4-214	4	IV	16474167
UCE4-1593	4	IV	16579044
UCE4-1601	4	IV	16624582
CE4-215	4	IV	16645856
UCE4-1606	4	IV	16777568
CE4-217	4	IV	16778962
UCE4-1610	4	IV	16863500
UCE4-1612	4	IV	16888487
CE4-218	4	IV	16947797
UCE4-1623	4	IV	17152812
UCE4-1635	4	IV	17237301
UCE4-1641	4	IV	17321360
UCE4-1644	4	IV	17340954
CE4-222	4	IV	17392826
UCE4-1649	4	IV	17413993
CE4-223	4	IV	1751639
UCE4-605	4	IV	1873298
CE4-108	4	IV	1942489
UCE4-618	4	IV	2052489
CE4-109	4	IV	2095590
UCE4-629	4	IV	2161590
CE4-23	4	IV	2172528
UCE4-654	4	IV	2249914
CE4-110	4	IV	2289096
UCE4-659	4	IV	2328157
UCE4-670	4	IV	2457186
CE4-112	4	IV	2495182
CE4-113	4	IV	2555939
UCE4-676	4	IV	2556586
CE4-114	4	IV	2640687
UCE4-694	4	IV	2803162
UCE4-700	4	IV	2914279
UCE4-705	4	IV	3008358
UCE4-708	4	IV	3049107
CE4-118	4	IV	3152471
UCE4-716	4	IV	3171606
UCE4-744	4	IV	3341446
UCE4-745	4	IV	3383191
CE4-120	4	IV	3480462
UCE4-765	4	IV	3502604
UCE4-773	4	IV	3559415
CE4-121	4	IV	3579831
UCE4-787	4	IV	3645626
CE4-123	4	IV	3737430
CE4-124	4	IV	3813656
UCE4-817	4	IV	3882714
CE4-232	4	IV	3886472
CE4-224	4	IV	4009430
CE4-15	4	IV	4051266
UCE4-847	4	IV	4069361
UCE4-864	4	IV	4173391
CE4-100	4	IV	419847
UCE4-877	4	IV	4265791
CE4-225	4	IV	4281922
UCE4-886	4	IV	4369098
CE4-21	4	IV	4526752
UCE4-892	4	IV	4579410
CE4-125	4	IV	4625317
CE4-126	4	IV	4779025
UCE4-901	4	IV	4877370
CE4-127	4	IV	4978605
UCE4-905	4	IV	5034091
UCE4-907	4	IV	5039083
CE4-128	4	IV	5140536
CE4-129	4	IV	5228880
UCE4-913	4	IV	5230238
CE4-131	4	IV	5513234
UCE4-920	4	IV	5732338
CE4-12	4	IV	5766609
CE4-132	4	IV	5819743
UCE4-935	4	IV	5847069
CE4-241	4	IV	5953018
UCE4-940	4	IV	5993753
CE4-133	4	IV	6077574
UCE4-941	4	IV	6104031
CE4-134	4	IV	6173575
UCE4-944	4	IV	6194920
CE4-135	4	IV	6260307
UCE4-948	4	IV	6278876
UCE4-949	4	IV	6384389
CE4-137	4	IV	6414209
UCE4-953	4	IV	6462009
CE4-226	4	IV	6507448
UCE4-956	4	IV	6544155
CE4-101	4	IV	657969
CE4-138	4	IV	6602025
UCE4-963	4	IV	6645028
UCE4-971	4	IV	6790463
CE4-139	4	IV	6790565
UCE4-974	4	IV	6975046
CE4-141	4	IV	7081695
UCE4-978	4	IV	7360423
CE4-14	4	IV	7405262
UCE4-985	4	IV	7428006
UCE4-988	4	IV	7470770
CE4-145	4	IV	7517279
UCE4-995	4	IV	7556641
CE4-146	4	IV	7610592
CE4-147	4	IV	7692816
UCE4-1012	4	IV	7712399
UCE4-507	4	IV	781321
CE4-148	4	IV	7827630
UCE4-1016	4	IV	7849434
CE4-233	4	IV	7900266
CE4-149	4	IV	7919693
UCE4-513	4	IV	795262
UCE4-1018	4	IV	7963446
CE4-150	4	IV	8014478
UCE4-1020	4	IV	8046258
CE4-151	4	IV	8162297
CE4-152	4	IV	8228724
CE4-153	4	IV	8286662
UCE4-519	4	IV	831646
CE4-154	4	IV	8346590
CE4-155	4	IV	8434422
UCE4-1053	4	IV	8448940
UCE4-1055	4	IV	8491497
UCE4-1059	4	IV	8569571
CE4-156	4	IV	8587439
CE4-157	4	IV	8674308
CE4-6	4	IV	8676487
CE4-158	4	IV	8767566
CE4-159	4	IV	8859198
CE4-160	4	IV	8921816
CE4-161	4	IV	9002954
CE4-162	4	IV	9100923
CE4-163	4	IV	9192122
UCE4-1071	4	IV	9225966
CE4-32	4	IV	9318663
CE4-165	4	IV	9353939
UCE4-1080	4	IV	9548910
UCE4-521	4	IV	955056
CE4-166	4	IV	9619050
UCE4-1081	4	IV	9673353
CE4-167	4	IV	9715431
UCE4-1084	4	IV	9867164
CE4-169	4	IV	9884332
CE4-170	4	IV	9967712
CE5-283	5	V	10124453
CE5-185	5	V	10240582
UCE5-1809	5	V	10248696
CE5-186	5	V	10356094
UCE5-1813	5	V	10367865
CE5-111	5	V	1038830
CE5-187	5	V	10444691
CE5-188	5	V	10568558
UCE5-1830	5	V	10594241
CE5-189	5	V	10695909
UCE5-1839	5	V	10720948
UCE5-678	5	V	1073079
UCE5-1841	5	V	10839540
CE5-190	5	V	10847018
CE5-191	5	V	10943453
CE5-20	5	V	11004172
UCE5-1858	5	V	11036055
UCE5-1861	5	V	11114697
CE5-192	5	V	11132252
UCE5-1862	5	V	11199004
UCE5-1863	5	V	11220257
CE5-112	5	V	1129299
UCE5-698	5	V	1129410
CE5-194	5	V	11321934
UCE5-1869	5	V	11340482
UCE5-1871	5	V	11402842
CE5-195	5	V	11411390
CE5-8	5	V	11467158
UCE5-1879	5	V	11476329
UCE5-1882	5	V	11611821
CE5-196	5	V	11680792
CE5-197	5	V	11779486
UCE5-1887	5	V	11791994
UCE5-1890	5	V	11869708
UCE5-1892	5	V	11878335
UCE5-1905	5	V	11980469
CE5-113	5	V	1200643
